listing_id,title,monthlyRent,flat_id,address,roomType,sourcePlatform,notes,amenities
L012,Cozy hdb room in Bedok North,1620,R12,Blk 205 Bedok North Street 1,HDB room,PropertyGuru,Good city access,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L013,Central singleroom in Bedok Reservoir,1050,R13,Blk 531 Bedok North Street 3,Singleroom,99.co,Good value option,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L014,City-fringe shared room in Tampines,1380,R14,Blk 101 Simei Street 1,Shared room,PropertyGuru,Simple central listing,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L015,Premium private room in Tampines East,2650,R15,Blk 201 Tampines Street 21,Private room,99.co,Convenient bus access,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L016,Budget common room in Tampines North,1220,R16,Blk 401 Tampines Street 41,Common room,PropertyGuru,Simple central listing,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L017,Budget condo room in Pasir Ris,2650,R17,Blk 452 Pasir Ris Drive 6,Condo room,99.co,Good value option,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": true, ""hasGym"": true}"
L018,Studio-style shared room in Pasir Ris,1520,R18,Blk 521 Pasir Ris Street 52,Shared room,PropertyGuru,Walkable to town center,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L019,Quiet stay near private room in MacPherson,2300,R19,Blk 1 Eunos Crescent,Private room,99.co,Walkable to town center,"{""hasAircon"": false, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L020,Budget singleroom in Marine Parade area,1220,R20,Blk 112 East Coast Road,Singleroom,99.co,Quiet neighborhood,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L021,Quiet stay near singleroom in Woodlands,1400,R21,Blk 1 Marsiling Drive,Singleroom,PropertyGuru,Higher rent but newer estate,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L022,Central singleroom in Woodlands South,1580,R22,Blk 101 Woodlands Street 13,Singleroom,PropertyGuru,Near central amenities,"{""hasAircon"": false, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L023,Central singleroom in Woodlands East,1300,R23,Blk 301 Woodlands Street 31,Singleroom,PropertyGuru,Good value option,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L024,Breezy private room in Yishun,1950,R24,Blk 101 Yishun Avenue 5,Private room,PropertyGuru,Higher rent but newer estate,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": true, ""hasGym"": true}"
L025,Breezy shared room in Yishun Ring,1650,R25,Blk 201 Yishun Street 21,Shared room,99.co,Good city access,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L026,Quiet stay near condo room in Yishun Ave,2900,R26,Blk 666 Yishun Avenue 4,Condo room,99.co,Good value option,"{""hasAircon"": false, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L027,Studio-style hdb room in Sembawang,1620,R27,Blk 501 Wellington Circle,HDB room,PropertyGuru,Student-friendly budget,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L028,Breezy singleroom in Sembawang Drive,1420,R28,Blk 401 Admiralty Link,Singleroom,PropertyGuru,Affordable option,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L029,Studio-style common room in Yio Chu Kang,1620,R29,Blk 633 Ang Mo Kio Avenue 6,Common room,PropertyGuru,Convenient bus access,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L030,Budget shared room in Woodlands,1300,R30,Blk 301 Woodlands Street 31,Shared room,PropertyGuru,Higher rent but newer estate,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L031,Quiet stay near hdb room in Ang Mo Kio,1280,R31,Blk 501 Ang Mo Kio Avenue 5,HDB room,99.co,Premium central option,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L032,Breezy private room in Ang Mo Kio Ave,2350,R32,Blk 101 Ang Mo Kio Avenue 3,Private room,99.co,Walkable to town center,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L033,Spacious common room in Hougang,1600,R33,Blk 1 Hougang Avenue 3,Common room,99.co,Higher rent but newer estate,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L034,Studio-style private room in Hougang Ave,2450,R34,Blk 201 Hougang Street 21,Private room,PropertyGuru,Good city access,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L035,Spacious condo room in Punggol,2950,R35,Blk 101 Punggol Field,Condo room,PropertyGuru,Good value option,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": true, ""hasGym"": true}"
L036,Spacious condo room in Punggol Field,2450,R36,Blk 201 Punggol Field,Condo room,99.co,Curated demo listing,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L037,Cozy private room in Punggol Waterway,2150,R37,Blk 313A Sumang Link,Private room,99.co,Good city access,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L038,Budget singleroom in Sengkang,1600,R38,Blk 101 Rivervale Walk,Singleroom,PropertyGuru,Good city access,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L039,Quiet stay near condo room in Sengkang East,2900,R39,Blk 201 Sengkang East Road,Condo room,PropertyGuru,Good city access,"{""hasAircon"": false, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L040,Premium singleroom in Serangoon,1450,R40,Blk 101 Serangoon North Avenue 1,Singleroom,PropertyGuru,Premium central option,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L041,Breezy common room in Jurong East,1380,R41,Blk 101 Jurong East Street 13,Common room,99.co,Student-friendly budget,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L042,Spacious private room in Jurong East Ave,3000,R42,Blk 201 Jurong East Street 21,Private room,99.co,Affordable option,"{""hasAircon"": false, ""hasHeater"": false, ""hasSwimmingPool"": true, ""hasGym"": true}"
L043,Cozy singleroom in Jurong West,1420,R43,Blk 210 Boon Lay Place,Singleroom,99.co,Convenient bus access,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L044,Premium private room in Jurong West Ave,2400,R44,Blk 201 Boon Lay Drive,Private room,PropertyGuru,Simple central listing,"{""hasAircon"": false, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L045,Quiet stay near private room in Jurong West Central,2900,R45,Blk 501 Jurong West Street 51,Private room,PropertyGuru,Convenient bus access,"{""hasAircon"": false, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L046,Cozy singleroom in Clementi Ave,1400,R46,Blk 324 Clementi Avenue 5,Singleroom,PropertyGuru,Simple central listing,"{""hasAircon"": false, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L047,Spacious private room in Clementi Ave,2600,R47,Blk 301 Clementi Avenue 4,Private room,99.co,Good city access,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": true, ""hasGym"": true}"
L048,Breezy common room in Bukit Batok,1280,R48,Blk 101 Bukit Batok West Avenue 6,Common room,PropertyGuru,Premium central option,"{""hasAircon"": true, ""hasHeater"": true, ""hasSwimmingPool"": false, ""hasGym"": false}"
L049,Cozy singleroom in Bukit Batok East,1620,R49,Blk 201 Bukit Batok Street 21,Singleroom,PropertyGuru,Student-friendly budget,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": false, ""hasGym"": false}"
L050,Central private room in Choa Chu Kang,2450,R50,Blk 101 Teck Whye Lane,Private room,99.co,Walkable to town center,"{""hasAircon"": true, ""hasHeater"": false, ""hasSwimmingPool"": true, ""hasGym"": true}"
